cue_location,sequence_location,target_congruent,target_direction,response,correct,rt,sub,trial_num
down,down,no,left,left,1,0.714469900005497,sub-donald_duck,57
down,down,yes,left,left,1,0.6295824999688193,sub-donald_duck,43
up,up,no,right,right,1,0.5941757999826223,sub-donald_duck,265
down,down,no,left,left,1,0.627838300075382,sub-donald_duck,503
up,down,yes,left,left,1,0.7477978999959305,sub-donald_duck,94
down,down,yes,left,left,1,0.5100584999890998,sub-donald_duck,80
down,down,yes,right,right,1,0.64591510000173,sub-donald_duck,517
up,up,yes,left,left,1,0.6123322999337688,sub-donald_duck,271
up,down,no,right,right,1,0.7813778999261558,sub-donald_duck,259
up,down,yes,left,left,1,0.5256414000177756,sub-donald_duck,258
up,up,yes,left,left,1,0.627595700090751,sub-donald_duck,516
up,up,no,left,left,1,0.7644848999334499,sub-donald_duck,81
down,down,yes,right,right,1,0.5766740000108257,sub-donald_duck,270
both,up,no,right,right,1,0.6958279999671504,sub-donald_duck,264
both,down,no,right,right,1,1.0529280999908224,sub-donald_duck,95
down,down,yes,left,left,1,0.6618211000459269,sub-donald_duck,502
down,down,yes,right,right,1,0.612048799986951,sub-donald_duck,42
both,down,yes,right,right,1,0.7130141000961885,sub-donald_duck,56
both,down,yes,right,right,1,0.6802373999962583,sub-donald_duck,338
up,down,no,right,right,1,0.7133819999871776,sub-donald_duck,462
down,down,no,left,left,1,0.8646952999988571,sub-donald_duck,304
up,up,yes,right,right,1,0.695690100081265,sub-donald_duck,310
both,up,no,right,right,1,0.6288139000535011,sub-donald_duck,476
both,up,yes,right,right,1,0.831692099920474,sub-donald_duck,489
down,up,yes,right,right,1,0.5774894000496715,sub-donald_duck,106
both,down,no,right,right,1,0.9517034000018612,sub-donald_duck,112
up,up,no,left,left,1,0.8333479999564588,sub-donald_duck,104
both,up,yes,right,right,1,0.6293730998877436,sub-donald_duck,110
both,down,yes,right,right,1,0.5268014000030234,sub-donald_duck,138
up,down,no,left,left,1,0.7822639000369236,sub-donald_duck,306
down,down,yes,right,right,1,0.5941448999801651,sub-donald_duck,460
both,down,yes,left,left,1,0.5781911000376567,sub-donald_duck,474
down,down,no,right,right,1,0.7467225999571383,sub-donald_duck,312
up,down,no,left,left,1,0.7645124000264332,sub-donald_duck,448
up,up,no,left,left,1,0.7471768000395969,sub-donald_duck,40
both,down,no,right,right,1,1.0355135999852791,sub-donald_duck,54
down,down,yes,left,left,1,0.7647443999303505,sub-donald_duck,68
down,down,yes,left,left,1,0.6958285999717191,sub-donald_duck,299
up,up,yes,right,right,1,0.5274211000651121,sub-donald_duck,272
both,up,no,right,right,1,0.916393000050448,sub-donald_duck,83
up,down,yes,right,right,1,0.7642895999597386,sub-donald_duck,514
both,up,no,left,left,1,0.764037000015378,sub-donald_duck,500
both,down,no,left,left,1,0.8304360999027267,sub-donald_duck,97
down,down,yes,left,left,1,0.6802534000016749,sub-donald_duck,266
up,up,yes,right,right,1,0.6125088999979198,sub-donald_duck,528
both,up,yes,right,right,1,0.5105299999704584,sub-donald_duck,8
both,up,no,right,right,1,0.7484922000439838,sub-donald_duck,9
up,down,yes,right,right,1,0.6115948000224307,sub-donald_duck,529
up,down,no,right,right,1,0.8827174999751151,sub-donald_duck,96
down,down,no,right,right,1,0.8320086000021547,sub-donald_duck,501
down,down,no,left,left,1,0.746438100002706,sub-donald_duck,267
down,down,no,right,right,1,0.89989339991007,sub-donald_duck,273
down,down,yes,left,left,1,0.729882700019516,sub-donald_duck,515
both,down,yes,right,right,1,0.848623999976553,sub-donald_duck,82
down,down,yes,right,right,1,0.6112948000663891,sub-donald_duck,69
up,down,yes,left,left,1,0.7809955000411719,sub-donald_duck,298
both,down,no,left,left,1,0.715040700044483,sub-donald_duck,55
both,up,no,right,right,1,0.6625220000278205,sub-donald_duck,41
both,down,no,right,right,1,0.8321496999124065,sub-donald_duck,449
down,up,no,left,left,1,0.6952843000181019,sub-donald_duck,475
down,up,no,right,right,1,0.7473537999903783,sub-donald_duck,313
down,down,no,right,right,1,0.7644818000262603,sub-donald_duck,307
both,down,yes,right,right,1,0.61107790004462,sub-donald_duck,461
up,down,no,left,left,1,0.7640146999619901,sub-donald_duck,139
down,down,no,left,left,1,0.8658451999071985,sub-donald_duck,111
both,down,yes,right,right,1,0.6296798000112176,sub-donald_duck,105
both,down,no,right,right,1,0.7798182999249548,sub-donald_duck,129
up,up,yes,left,left,1,0.5774668999947608,sub-donald_duck,101
down,up,yes,left,left,1,0.5947964999359101,sub-donald_duck,115
both,down,no,left,left,1,0.96980339998845,sub-donald_duck,459
up,down,yes,right,right,1,0.5940602000337094,sub-donald_duck,465
down,up,yes,left,left,1,0.6784458999754861,sub-donald_duck,303
up,down,yes,left,left,1,0.6631297999992967,sub-donald_duck,317
both,down,no,right,right,1,0.779856999986805,sub-donald_duck,471
both,up,yes,left,left,1,0.8832991999806836,sub-donald_duck,79
both,up,yes,left,left,1,0.5436933999881148,sub-donald_duck,288
both,down,yes,left,left,1,0.6953251999802887,sub-donald_duck,45
up,down,no,left,left,1,0.8150797999696806,sub-donald_duck,51
both,up,no,left,left,1,0.628848799970001,sub-donald_duck,539
up,down,no,left,left,1,0.7976601000409573,sub-donald_duck,86
down,down,no,left,left,1,0.662560599972494,sub-donald_duck,511
up,down,yes,left,left,1,0.7645878999028355,sub-donald_duck,277
down,up,yes,right,right,1,0.5941089000552893,sub-donald_duck,263
down,up,yes,right,right,1,0.4920126000652089,sub-donald_duck,505
both,down,yes,left,left,1,0.7656481000594795,sub-donald_duck,92
both,down,no,left,left,1,0.8833342998987064,sub-donald_duck,262
up,up,no,right,right,1,0.7643418000079691,sub-donald_duck,93
both,down,no,left,left,1,0.9337188999634236,sub-donald_duck,504
both,down,no,right,right,1,0.8147285999730229,sub-donald_duck,510
down,down,no,right,right,1,0.8318367999745533,sub-donald_duck,87
both,up,yes,right,right,1,0.6285026000114158,sub-donald_duck,276
up,down,no,left,left,1,0.6955029999371618,sub-donald_duck,538
both,up,no,left,left,1,0.8492681999923661,sub-donald_duck,50
up,down,yes,left,left,1,0.5937748999567702,sub-donald_duck,44
down,up,no,right,right,1,0.9678920999867842,sub-donald_duck,78
down,up,yes,right,right,1,0.493426900007762,sub-donald_duck,289
both,up,no,right,right,1,0.8486095999833196,sub-donald_duck,316
both,up,no,left,left,1,0.7981583999935538,sub-donald_duck,470
down,up,yes,left,left,1,0.5608193000080064,sub-donald_duck,464
up,up,no,right,right,1,0.7304140999913216,sub-donald_duck,302
up,down,yes,left,left,1,0.6616254000691697,sub-donald_duck,458
up,down,yes,right,right,1,0.6453065000241622,sub-donald_duck,114
up,up,yes,right,right,1,0.6107773000840098,sub-donald_duck,100
up,up,no,right,right,1,0.883952800068073,sub-donald_duck,128
up,down,no,left,left,1,0.7813877000007778,sub-donald_duck,116
down,down,yes,left,left,1,0.6968314000405371,sub-donald_duck,102
up,up,yes,left,left,1,0.6459906999953091,sub-donald_duck,499
down,down,no,left,left,1,0.900179099990055,sub-donald_duck,328
down,up,no,right,right,1,0.662416199920699,sub-donald_duck,472
both,down,yes,left,left,1,0.6284777999389917,sub-donald_duck,314
up,down,no,right,miss,-1,,sub-donald_duck,300
up,up,no,left,left,1,0.7294555000262335,sub-donald_duck,466
up,down,yes,right,right,1,0.6464610999682918,sub-donald_duck,52
down,down,no,left,left,1,0.8497335000429302,sub-donald_duck,46
down,up,no,left,left,1,0.6960569999646395,sub-donald_duck,248
down,down,no,right,right,1,0.7637283999938518,sub-donald_duck,506
up,down,yes,right,right,1,0.7814657000126317,sub-donald_duck,91
up,up,yes,left,left,1,0.6458326000720263,sub-donald_duck,260
both,down,yes,right,right,1,0.5437150999205187,sub-donald_duck,274
down,up,yes,left,left,1,0.6793897000607103,sub-donald_duck,85
up,down,no,right,right,1,0.7133792999666184,sub-donald_duck,512
down,up,yes,right,right,1,0.4250563000096008,sub-donald_duck,275
up,down,no,left,left,1,0.7137688000220805,sub-donald_duck,513
both,up,no,left,left,1,0.832013399922289,sub-donald_duck,84
both,down,no,left,left,1,0.7978293000487611,sub-donald_duck,90
both,up,no,right,right,1,0.7478055000538006,sub-donald_duck,507
both,down,yes,left,left,1,0.7985426000086591,sub-donald_duck,261
both,up,no,left,left,1,0.6453512000152841,sub-donald_duck,249
both,up,yes,right,right,1,0.6122908999677747,sub-donald_duck,47
up,up,no,left,left,1,0.6293722999980673,sub-donald_duck,53
both,up,no,left,left,1,0.8659956000046805,sub-donald_duck,301
both,up,yes,left,left,1,0.5446945000439882,sub-donald_duck,467
up,up,yes,right,right,1,0.6459192000329494,sub-donald_duck,473
up,down,no,left,left,1,0.7308188000461087,sub-donald_duck,315
down,up,no,left,left,1,0.8156278999522328,sub-donald_duck,329
up,down,yes,left,left,1,0.6116280999267474,sub-donald_duck,498
both,up,yes,left,left,1,0.6794982999563217,sub-donald_duck,103
up,down,yes,left,left,1,0.7304142999928445,sub-donald_duck,117
both,up,yes,left,left,1,0.6267037999350578,sub-donald_duck,170
up,up,no,left,left,1,0.6975275999866426,sub-donald_duck,616
both,up,yes,right,right,1,0.6618381999433041,sub-donald_duck,602
down,up,yes,left,left,1,0.6115575999720022,sub-donald_duck,164
up,up,no,left,left,1,0.7465113999787718,sub-donald_duck,158
both,down,no,right,right,1,0.9172227000817657,sub-donald_duck,399
both,up,yes,left,left,1,0.6787658999674022,sub-donald_duck,414
down,down,no,right,right,1,0.7642494000028819,sub-donald_duck,372
down,up,yes,left,left,1,0.6956133000785485,sub-donald_duck,366
both,down,yes,right,right,1,0.5765353000024334,sub-donald_duck,400
down,up,yes,right,right,1,0.5771080000558868,sub-donald_duck,428
up,down,no,right,right,1,0.8155836999649182,sub-donald_duck,34
up,up,no,right,right,1,0.9173559000482784,sub-donald_duck,20
both,down,no,right,right,1,0.7984118000604212,sub-donald_duck,560
down,down,yes,left,left,1,0.6108012999175116,sub-donald_duck,206
down,up,no,left,left,1,1.0180953999515625,sub-donald_duck,212
down,down,no,right,right,1,0.8156026999931782,sub-donald_duck,574
down,up,yes,right,right,1,0.6963939999695867,sub-donald_duck,548
both,down,yes,left,left,1,0.5947290000040084,sub-donald_duck,549
both,up,no,right,right,1,0.8327469000359997,sub-donald_duck,213
down,down,no,left,left,1,0.7976280000293627,sub-donald_duck,575
both,up,no,right,right,1,0.645714099984616,sub-donald_duck,561
down,down,no,left,left,1,0.7988143999828026,sub-donald_duck,207
both,down,no,right,right,1,0.6459896999876946,sub-donald_duck,21
both,up,no,left,left,1,0.7807232999475673,sub-donald_duck,35
down,down,no,right,right,1,0.7641028999350965,sub-donald_duck,429
down,up,no,left,left,1,0.6455959000159055,sub-donald_duck,367
both,down,yes,left,left,1,0.5770597000373527,sub-donald_duck,401
both,down,yes,left,left,1,0.6286979999858886,sub-donald_duck,415
down,up,yes,right,right,1,0.6282527999719605,sub-donald_duck,373
up,up,yes,right,right,1,0.5425115000689402,sub-donald_duck,398
down,down,no,right,right,1,1.0186528000049293,sub-donald_duck,159
both,down,yes,left,left,1,0.7492996000219136,sub-donald_duck,603
up,down,yes,right,right,1,0.6107384000206366,sub-donald_duck,165
up,down,no,right,right,1,0.7985137000214309,sub-donald_duck,171
down,up,yes,left,left,1,0.6961948999669403,sub-donald_duck,617
up,up,no,right,right,1,0.7125691999681294,sub-donald_duck,198
down,up,no,left,left,1,0.7465893999906257,sub-donald_duck,167
both,down,yes,right,right,1,0.6450997999636456,sub-donald_duck,601
both,up,yes,left,left,1,0.6624977000756189,sub-donald_duck,615
down,up,no,right,right,1,0.8838013000786304,sub-donald_duck,173
up,up,yes,right,right,1,0.5602585999295115,sub-donald_duck,629
down,down,no,right,right,1,0.6954584000632167,sub-donald_duck,403
down,up,no,right,right,1,0.7641770000336692,sub-donald_duck,365
both,up,yes,left,miss,-1,,sub-donald_duck,371
up,down,yes,left,left,1,0.6113180000102147,sub-donald_duck,417
up,down,yes,left,left,1,0.5946001999545842,sub-donald_duck,359
down,down,yes,left,left,1,0.7296650999924168,sub-donald_duck,23
both,up,yes,left,left,1,0.545695299981162,sub-donald_duck,37
both,up,no,left,left,1,0.7303034000797197,sub-donald_duck,588
both,up,yes,right,right,1,0.577269300003536,sub-donald_duck,577
both,down,yes,left,left,1,0.8499616000335664,sub-donald_duck,211
up,down,yes,left,left,1,0.68056849995628,sub-donald_duck,205
up,down,no,left,left,1,0.8154347999952734,sub-donald_duck,563
down,down,no,right,right,1,0.8829374000197276,sub-donald_duck,239
down,up,no,left,left,1,0.7305175999645144,sub-donald_duck,238
down,up,no,right,right,1,0.661891600000672,sub-donald_duck,204
down,down,yes,left,left,1,0.5607236999785528,sub-donald_duck,562
down,up,yes,left,left,1,0.6276432999875396,sub-donald_duck,576
up,down,no,right,right,1,1.0194289999781176,sub-donald_duck,210
both,down,yes,left,left,1,0.5948783999774605,sub-donald_duck,589
up,up,yes,left,left,1,0.9504567000549288,sub-donald_duck,36
down,down,yes,right,right,1,0.5773636000230908,sub-donald_duck,22
up,down,no,right,right,1,0.7650071999523789,sub-donald_duck,358
both,down,yes,right,right,1,0.5946735999314114,sub-donald_duck,370
up,down,yes,right,right,1,0.5947696999646723,sub-donald_duck,416
down,down,yes,right,right,1,0.6120482000987977,sub-donald_duck,402
both,up,no,right,right,1,0.7304011000087485,sub-donald_duck,364
down,up,yes,left,left,1,0.5777372000738978,sub-donald_duck,628
down,up,yes,right,right,1,0.6287015000125393,sub-donald_duck,614
down,down,yes,right,right,1,0.5773331000236794,sub-donald_duck,172
both,up,yes,right,right,1,0.5766600000206381,sub-donald_duck,166
down,up,no,right,right,1,0.764325900003314,sub-donald_duck,600
down,up,yes,left,left,1,0.678466200013645,sub-donald_duck,199
both,up,no,left,left,1,0.6969487000023946,sub-donald_duck,189
down,down,no,left,left,1,0.7649398000212386,sub-donald_duck,638
down,down,no,right,right,1,0.968121699988842,sub-donald_duck,604
up,down,yes,left,left,1,0.6801663999212906,sub-donald_duck,162
up,down,yes,right,right,1,0.5779656000668183,sub-donald_duck,176
both,down,no,right,right,1,0.7317225000588223,sub-donald_duck,610
down,down,no,left,left,1,0.9507181999506428,sub-donald_duck,348
up,down,no,right,right,1,0.7652561999857426,sub-donald_duck,360
down,down,yes,left,left,1,0.577167300041765,sub-donald_duck,406
down,down,no,left,left,1,0.764343100017868,sub-donald_duck,412
up,down,yes,left,left,1,0.5938865999924019,sub-donald_duck,374
both,down,no,left,left,1,0.7792880999622867,sub-donald_duck,599
down,up,no,left,left,1,0.7303824999835342,sub-donald_duck,26
up,down,yes,right,right,1,0.5946355999913067,sub-donald_duck,32
down,up,yes,left,left,1,0.5277777999872342,sub-donald_duck,228
up,up,yes,left,left,1,0.6451548999175429,sub-donald_duck,214
both,up,no,left,left,1,0.6800914000486955,sub-donald_duck,572
up,down,yes,left,left,1,0.59507149993442,sub-donald_duck,566
both,down,no,right,right,1,0.7971039999974892,sub-donald_duck,200
up,up,yes,left,left,1,0.7474206999177113,sub-donald_duck,567
down,up,yes,right,right,1,0.6448816999327391,sub-donald_duck,201
both,down,no,left,left,1,0.833512100041844,sub-donald_duck,215
up,down,yes,right,right,1,0.6115329000167549,sub-donald_duck,573
both,up,yes,right,right,1,0.9509597000433132,sub-donald_duck,229
both,down,no,left,left,1,0.7975385999307036,sub-donald_duck,33
down,up,yes,right,right,1,0.5946564000332728,sub-donald_duck,27
up,down,yes,right,right,1,0.5954971999162808,sub-donald_duck,598
up,down,no,left,left,1,0.730436300043948,sub-donald_duck,413
down,down,yes,left,left,1,0.5093147000297904,sub-donald_duck,375
up,up,yes,left,left,1,0.6285856999456882,sub-donald_duck,361
both,down,no,left,left,1,0.7647922999458387,sub-donald_duck,407
down,up,no,left,left,1,0.7458950999425724,sub-donald_duck,349
down,down,yes,left,left,1,0.6272806000197306,sub-donald_duck,177
both,up,no,right,right,1,0.9167458000592889,sub-donald_duck,611
down,down,no,left,left,1,0.7806310999440029,sub-donald_duck,605
down,down,no,left,left,1,0.8159256000071764,sub-donald_duck,163
both,up,no,right,right,1,0.7631282000802457,sub-donald_duck,639
up,up,yes,left,left,1,0.595352099975571,sub-donald_duck,188
both,up,no,left,left,1,0.7470700000412762,sub-donald_duck,149
down,up,no,left,left,1,0.8328620999818668,sub-donald_duck,613
up,up,no,left,left,1,0.849073400022462,sub-donald_duck,175
down,down,yes,right,right,1,0.679156000027433,sub-donald_duck,161
up,down,no,left,left,1,0.7466689998982474,sub-donald_duck,607
down,down,no,left,left,1,0.7470352000091225,sub-donald_duck,388
both,up,no,right,right,1,1.0015038999263195,sub-donald_duck,439
up,up,no,left,left,1,0.7809716000920162,sub-donald_duck,377
both,down,yes,right,right,1,0.6962886999826878,sub-donald_duck,411
down,up,no,left,miss,-1,,sub-donald_duck,405
up,down,no,left,left,1,0.9680149999912828,sub-donald_duck,363
up,down,no,left,left,1,0.8314024999272078,sub-donald_duck,19
up,up,no,right,right,1,0.9507382999872788,sub-donald_duck,31
down,up,yes,left,left,1,0.577409700024873,sub-donald_duck,25
down,up,yes,left,left,1,0.611634699977003,sub-donald_duck,559
both,up,yes,right,right,1,0.526203399989754,sub-donald_duck,203
up,up,no,right,right,1,0.7311591000761837,sub-donald_duck,565
up,up,no,left,left,1,0.6293103001080453,sub-donald_duck,571
up,down,no,right,right,1,0.7645072999875993,sub-donald_duck,217
both,up,yes,left,left,1,0.5611527999863029,sub-donald_duck,570
both,down,yes,right,right,1,0.577292500063777,sub-donald_duck,216
up,down,yes,right,right,1,0.6113275000825524,sub-donald_duck,202
up,down,no,right,right,1,0.7479546000249684,sub-donald_duck,564
down,up,yes,right,right,1,0.544086099951528,sub-donald_duck,558
down,down,no,right,right,1,0.7133361999876797,sub-donald_duck,24
up,down,no,left,left,1,0.7139233999187127,sub-donald_duck,30
down,up,no,right,right,1,0.695880200015381,sub-donald_duck,18
down,up,yes,left,left,1,0.6458088000072166,sub-donald_duck,404
down,down,no,left,left,1,0.7138696999754757,sub-donald_duck,362
both,up,yes,right,right,1,0.5785560000222176,sub-donald_duck,376
up,up,no,left,left,1,0.7133392998948693,sub-donald_duck,410
both,down,no,left,left,1,0.7479441999457777,sub-donald_duck,438
both,up,yes,left,left,1,0.612267000018619,sub-donald_duck,389
up,down,no,left,left,1,0.7307328999741003,sub-donald_duck,160
up,down,yes,left,left,1,0.4928244999609887,sub-donald_duck,606
up,up,yes,right,right,1,0.746734399930574,sub-donald_duck,612
both,down,yes,left,left,1,0.6286264999071136,sub-donald_duck,174
both,down,yes,right,right,1,0.7647163000656292,sub-donald_duck,148
both,down,yes,right,right,1,0.5435712999897078,sub-donald_duck,192
down,up,yes,right,right,1,0.6965323000913486,sub-donald_duck,186
both,down,yes,left,left,1,0.594303899910301,sub-donald_duck,151
up,down,yes,right,right,1,0.5104556999867782,sub-donald_duck,637
both,down,no,left,left,1,0.7134489000309259,sub-donald_duck,623
down,up,yes,right,right,1,0.5108881000196561,sub-donald_duck,145
up,up,no,right,right,1,0.8994185000192374,sub-donald_duck,179
both,up,yes,right,right,1,0.6110653999494389,sub-donald_duck,390
both,up,no,left,left,1,0.7473453000420704,sub-donald_duck,384
down,up,yes,right,right,1,0.52491239993833,sub-donald_duck,435
both,up,yes,right,right,1,0.5949532999657094,sub-donald_duck,353
down,up,no,right,right,1,0.8494661001022905,sub-donald_duck,347
down,up,no,left,left,1,0.8654977000551298,sub-donald_duck,421
up,up,no,right,right,1,0.7122614000691101,sub-donald_duck,409
both,up,yes,left,left,1,0.8813798000337556,sub-donald_duck,15
down,up,yes,right,right,1,0.527413500007242,sub-donald_duck,582
both,down,yes,right,right,1,0.7147978999419138,sub-donald_duck,596
up,up,yes,right,right,1,0.5950806000037119,sub-donald_duck,29
both,down,no,right,right,1,0.7648179000243545,sub-donald_duck,541
up,down,no,left,left,1,0.8661531000398099,sub-donald_duck,227
up,down,yes,left,left,1,0.5601339000277221,sub-donald_duck,233
both,up,yes,right,right,1,0.6282089999876916,sub-donald_duck,555
down,up,no,right,right,1,0.7130529000423849,sub-donald_duck,569
both,down,yes,left,left,1,0.5431639000307769,sub-donald_duck,568
up,up,no,left,left,1,0.7480307999067008,sub-donald_duck,232
both,down,no,left,miss,-1,,sub-donald_duck,554
up,down,no,right,right,1,0.7646835999330506,sub-donald_duck,540
down,up,yes,right,right,1,0.5254263998940587,sub-donald_duck,226
both,down,no,right,right,1,0.71333759999834,sub-donald_duck,28
up,down,no,right,right,1,0.7648675000527874,sub-donald_duck,597
up,down,yes,left,left,1,0.5774597000563517,sub-donald_duck,583
up,down,no,right,right,1,0.7471512999618426,sub-donald_duck,14
both,down,no,right,right,1,0.6781083999667317,sub-donald_duck,408
up,up,no,right,right,1,0.781515600043349,sub-donald_duck,346
up,up,yes,left,left,1,0.6289368000579998,sub-donald_duck,420
down,down,yes,right,right,1,0.5948372000129893,sub-donald_duck,434
down,up,yes,left,left,1,0.5955590000376105,sub-donald_duck,352
up,down,no,left,left,1,0.7985485999379307,sub-donald_duck,385
up,up,no,right,right,1,0.6959661999717355,sub-donald_duck,391
both,down,yes,right,right,1,0.6281969000119716,sub-donald_duck,178
up,down,no,right,right,1,0.7642934999894351,sub-donald_duck,622
up,up,no,right,right,1,0.8487640999956056,sub-donald_duck,144
down,up,no,right,right,1,0.985228200093843,sub-donald_duck,150
both,down,no,right,right,1,0.7803456999827176,sub-donald_duck,636
up,up,yes,right,right,1,0.5775928000221029,sub-donald_duck,187
down,down,no,right,right,1,0.7808308999519795,sub-donald_duck,193
down,up,no,left,left,1,0.71364370000083,sub-donald_duck,185
up,down,yes,left,left,1,0.5265637999400496,sub-donald_duck,191
up,up,yes,right,right,1,0.5267110000131652,sub-donald_duck,146
down,down,yes,right,right,1,0.5770461999345571,sub-donald_duck,620
up,up,no,left,left,1,0.6955504999496043,sub-donald_duck,634
both,up,no,right,right,1,0.7813284998992458,sub-donald_duck,152
up,up,no,right,right,1,0.780869200010784,sub-donald_duck,608
down,up,yes,right,right,1,0.696161099942401,sub-donald_duck,387
up,up,no,left,left,1,0.7298393999226391,sub-donald_duck,393
down,down,yes,right,right,1,0.7807518999325112,sub-donald_duck,422
both,up,yes,left,left,1,0.5780560000566766,sub-donald_duck,344
both,down,yes,left,left,1,0.6791821999941021,sub-donald_duck,350
up,down,no,right,right,1,0.798331799916923,sub-donald_duck,436
up,up,no,right,right,1,0.8158989000367001,sub-donald_duck,378
up,up,yes,left,left,1,0.6967168999835849,sub-donald_duck,595
up,up,no,left,left,1,0.9175124999601394,sub-donald_duck,16
up,up,yes,right,right,1,0.543106000055559,sub-donald_duck,581
down,up,no,left,left,1,0.7310672000749037,sub-donald_duck,556
both,down,yes,left,left,1,0.782342900056392,sub-donald_duck,230
both,down,no,left,left,1,0.9508705999469385,sub-donald_duck,224
both,up,yes,left,left,1,0.8660769999260083,sub-donald_duck,542
down,down,yes,right,right,1,0.5090606000740081,sub-donald_duck,218
both,up,no,right,right,1,0.6790928000118583,sub-donald_duck,219
up,up,yes,right,right,1,0.5769149999832734,sub-donald_duck,225
up,down,yes,left,left,1,0.4935198000166565,sub-donald_duck,543
down,down,yes,right,right,1,0.6295089999912307,sub-donald_duck,557
up,down,yes,right,right,1,0.6468357000267133,sub-donald_duck,231
down,up,no,right,right,1,0.6778956999769434,sub-donald_duck,580
down,down,no,right,right,1,0.7814323999918997,sub-donald_duck,17
down,up,no,left,left,1,0.6799160999944434,sub-donald_duck,594
both,up,no,left,left,1,0.7475785000715405,sub-donald_duck,379
down,down,no,right,right,1,0.7138868999900296,sub-donald_duck,351
up,down,yes,right,right,1,0.5598978999769315,sub-donald_duck,437
both,up,yes,right,right,1,0.6966711001005024,sub-donald_duck,423
down,down,yes,right,right,1,0.5783286000369117,sub-donald_duck,345
up,up,yes,left,left,1,0.746126199956052,sub-donald_duck,392
up,down,yes,left,left,1,0.6965817000018433,sub-donald_duck,386
both,up,no,left,left,1,0.6959987999871373,sub-donald_duck,609
up,down,no,right,right,1,0.7304328999016434,sub-donald_duck,635
up,up,yes,left,left,1,0.5772888000356033,sub-donald_duck,153
both,up,yes,left,left,1,0.6281358000123873,sub-donald_duck,147
up,up,yes,left,left,1,0.7981651000445709,sub-donald_duck,621
down,up,yes,left,left,1,0.4933080000337213,sub-donald_duck,190
down,down,no,right,right,1,0.69780449999962,sub-donald_duck,184
both,down,no,right,miss,-1,,sub-donald_duck,180
up,up,no,left,left,1,0.6447306000627577,sub-donald_duck,194
up,down,yes,right,right,1,0.6287448999937624,sub-donald_duck,619
down,up,no,right,right,1,0.7302609999896958,sub-donald_duck,625
up,down,no,right,right,1,0.7310725999996066,sub-donald_duck,143
both,down,no,left,left,1,0.78125,sub-donald_duck,157
down,up,yes,right,right,1,0.6280509000644088,sub-donald_duck,631
both,down,yes,left,left,1,0.6455715999472886,sub-donald_duck,382
down,up,no,right,right,1,0.6286361999809742,sub-donald_duck,396
both,down,no,right,right,1,0.6956003999803215,sub-donald_duck,369
both,up,no,right,right,1,0.8158696000464261,sub-donald_duck,341
both,up,no,right,miss,-1,,sub-donald_duck,427
up,up,no,right,right,1,0.6448194999247789,sub-donald_duck,433
both,down,no,left,left,1,0.745949300006032,sub-donald_duck,355
up,up,no,right,right,1,0.7480789999244735,sub-donald_duck,590
both,down,yes,left,left,1,0.5274571999907494,sub-donald_duck,13
down,down,no,right,right,1,0.6967311999760568,sub-donald_duck,584
down,down,yes,right,right,1,0.4419205000158399,sub-donald_duck,209
down,down,yes,left,left,1,0.5445055000018328,sub-donald_duck,235
both,down,yes,right,miss,-1,,sub-donald_duck,553
down,down,no,left,left,1,0.7644100999459624,sub-donald_duck,547
down,up,no,right,right,1,0.6966091999784112,sub-donald_duck,221
down,down,yes,left,left,1,0.5445322999730706,sub-donald_duck,546
both,down,no,right,right,1,0.679850000073202,sub-donald_duck,220
both,up,no,left,left,1,0.662265200051479,sub-donald_duck,234
up,up,yes,right,right,1,0.5435483999317512,sub-donald_duck,552
up,up,yes,right,right,1,0.594077399931848,sub-donald_duck,208
both,down,no,right,right,1,0.7808188999770209,sub-donald_duck,585
up,down,yes,left,left,1,0.542522200034,sub-donald_duck,12
down,down,yes,left,left,1,0.5612567000789568,sub-donald_duck,591
both,up,yes,left,left,1,0.577275599935092,sub-donald_duck,432
up,up,no,left,left,1,0.7133990000002086,sub-donald_duck,354
up,up,yes,right,right,1,0.7496348000131547,sub-donald_duck,340
down,down,yes,left,left,1,0.696609599981457,sub-donald_duck,426
up,down,yes,right,right,1,0.5942911000456661,sub-donald_duck,368
both,up,no,right,right,1,0.6291733001125976,sub-donald_duck,397
both,down,no,left,left,1,0.7472429000772536,sub-donald_duck,383
down,down,yes,left,left,1,0.8995011999504641,sub-donald_duck,156
down,down,yes,left,left,1,0.5941818000283092,sub-donald_duck,630
down,down,no,right,right,1,0.6622101000975817,sub-donald_duck,624
down,up,no,left,left,1,0.6456675000954419,sub-donald_duck,142
down,down,yes,left,left,1,0.6117596999974921,sub-donald_duck,618
both,up,yes,left,left,1,0.6451364000095055,sub-donald_duck,195
up,down,no,left,left,1,0.867100500036031,sub-donald_duck,181
both,up,no,left,left,1,0.6449965999927372,sub-donald_duck,197
both,down,no,left,left,1,0.7308988999575377,sub-donald_duck,183
down,down,no,left,left,1,0.8998873999807984,sub-donald_duck,168
up,down,yes,left,left,1,0.6617298000492156,sub-donald_duck,632
both,down,no,right,right,1,0.933499600039795,sub-donald_duck,154
down,up,no,right,right,1,0.6947749999817461,sub-donald_duck,140
both,up,no,left,left,1,0.6788521999260411,sub-donald_duck,626
up,down,yes,right,right,1,0.6455074000405148,sub-donald_duck,395
down,down,yes,right,right,1,0.5778254000470042,sub-donald_duck,381
down,up,yes,left,left,1,0.746736100059934,sub-donald_duck,418
both,down,no,right,right,1,0.8317837999202311,sub-donald_duck,356
