ecephys_unit_id,g_dsi_dg,ecephys_channel_id,firing_rate
915956282,0.0846914764295952,850229419,6.51943178976288
915956340,0.0944770971869102,850229419,9.66055365767542
915956345,0.0383874412360935,850229419,12.6984302105734
915956349,0.0150313224666772,850229419,16.1924131242456
915956356,0.0473212181245176,850229419,2.19311318838057
915956304,0.0349431359558958,850229417,6.64657648325305
915956385,0.0745812756515565,850229423,12.340364411279
915956407,0.1461670883134578,850229425,7.54763616151296
915956421,0.0461174161203239,850229427,13.9627604416624
915956438,0.1056475702520194,850229431,10.3907062249698
915956442,0.0852187281636083,850229431,8.34332613556047
915956449,0.0860427445133635,850229431,1.64448967804078
915958616,0.0312508973427873,850229431,13.2164625164644
915956465,0.0476013645403048,850229433,8.09679076915221
915956471,0.0560939825788227,850229433,8.87729136043523
915956477,0.0574788439089836,850229433,9.41869194750239
915956502,0.0393714217041223,850229439,16.8709430340328
915956508,0.1664330905484199,850229439,6.25271472597523
915956555,0.3604217541206334,850229443,15.7371565191505
915956565,0.0245931379903422,850229447,6.44390975378
915956577,0.0415922644256556,850229447,12.0303098078556
915956592,0.1474199559621526,850229447,7.1028952829471
915958628,0.100216712986994,850229447,8.08319467828609
915956603,0.0433604806543234,850229455,2.85932164082029
915956646,0.0549717425572533,850229455,13.0689236866751
915956688,0.0464515014328262,850229455,12.8820836567259
915956608,0.0282422442772343,850229449,11.3344661261062
915956637,0.0511677216170983,850229449,12.0303098078556
915956642,0.0441781740631538,850229453,13.6651335150463
915956662,0.0838437084032394,850229457,6.02625483748648
915956668,0.0322700109803945,850229457,16.2100455545876
915956691,0.0716395661475034,850229463,19.0517347650659
915956697,0.0535831143671004,850229463,7.92896402252358
915956724,0.1920060284642412,850229467,15.614260604056
915956733,0.1361715083484277,850229473,4.98849071434616
915956757,0.1364237339255049,850229473,2.27564570871629
915956761,0.3001592159693776,850229473,7.84080187081361
915956770,0.0259725599170113,850229473,6.91552415569842
915956775,0.081411645090231,850229473,14.6697571667004
915956779,0.1317222996008546,850229473,7.72682839034999
915956742,0.031016150221188,850229471,8.51657007464357
915956789,0.1239967229765339,850229479,6.34629407013968
