Radius,Theta,Direction,Timestamp
5,3.1415,2,2023-12-17T12:41:16.5349888+01:00
3,2.51327419,1,2023-12-17T12:41:29.5333376+01:00
5,3.1415,2,2023-12-17T12:41:36.5456896+01:00
4,2.09439516,1,2023-12-17T12:41:49.5501824+01:00
5,3.1415,2,2023-12-17T12:41:56.5621376+01:00
5,2.51327419,1,2023-12-17T12:42:09.5516416+01:00
5,3.1415,2,2023-12-17T12:42:16.5655936+01:00
4,2.93215322,1,2023-12-17T12:42:29.5691520+01:00
5,3.1415,2,2023-12-17T12:42:36.5736960+01:00
3,2.51327419,1,2023-12-17T12:42:49.5720448+01:00
5,3.1415,2,2023-12-17T12:42:56.5860224+01:00
3,2.09439516,1,2023-12-17T12:43:09.5764352+01:00
5,3.1415,2,2023-12-17T12:43:16.5880832+01:00
4,3.76991129,2,2023-12-17T12:43:29.5940096+01:00
5,3.1415,1,2023-12-17T12:43:36.6066048+01:00
5,3.76991129,2,2023-12-17T12:43:49.6101120+01:00
5,3.1415,1,2023-12-17T12:43:56.6151808+01:00
3,2.51327419,1,2023-12-17T12:44:09.6122240+01:00
5,3.1415,2,2023-12-17T12:44:16.6165120+01:00
3,2.93215322,1,2023-12-17T12:44:29.6155008+01:00
5,3.1415,2,2023-12-17T12:44:36.6198144+01:00
5,2.93215322,1,2023-12-17T12:44:49.6199680+01:00
5,3.1415,2,2023-12-17T12:44:56.6337280+01:00
3,2.09439516,1,2023-12-17T12:45:09.6344192+01:00
5,3.1415,2,2023-12-17T12:45:16.6397056+01:00
3,3.76991129,2,2023-12-17T12:45:29.6254208+01:00
5,3.1415,1,2023-12-17T12:45:36.6304128+01:00
16,2.29999995,1,2023-12-17T12:45:49.6291968+01:00
5,3.1415,2,2023-12-17T12:45:56.6411904+01:00
5,4.18879032,2,2023-12-17T12:46:09.6437632+01:00
5,3.1415,1,2023-12-17T12:46:16.6481920+01:00
3,2.93215322,1,2023-12-17T12:46:29.6472704+01:00
5,3.1415,2,2023-12-17T12:46:36.6610560+01:00
3,3.76991129,2,2023-12-17T12:46:49.6626688+01:00
5,3.1415,1,2023-12-17T12:46:56.6805760+01:00
4,4.18879032,2,2023-12-17T12:47:09.6812160+01:00
5,3.1415,1,2023-12-17T12:47:16.6861440+01:00
4,2.09439516,1,2023-12-17T12:47:29.6845696+01:00
5,3.1415,2,2023-12-17T12:47:36.6885376+01:00
4,4.18879032,2,2023-12-17T12:47:49.6884864+01:00
5,3.1415,1,2023-12-17T12:47:56.6937344+01:00
5,3.35103226,2,2023-12-17T12:48:09.7037312+01:00
5,3.1415,1,2023-12-17T12:48:16.7189632+01:00
5,2.93215322,1,2023-12-17T12:48:29.7071488+01:00
5,3.1415,2,2023-12-17T12:48:36.7222144+01:00
4,3.76991129,2,2023-12-17T12:48:49.7106176+01:00
5,3.1415,1,2023-12-17T12:48:56.7270656+01:00
3,3.35103226,2,2023-12-17T12:49:09.7139456+01:00
5,3.1415,1,2023-12-17T12:49:16.7280896+01:00
5,4.18879032,2,2023-12-17T12:49:29.7175808+01:00
5,3.1415,1,2023-12-17T12:49:36.7289216+01:00
5,3.35103226,2,2023-12-17T12:49:49.7471872+01:00
5,3.1415,1,2023-12-17T12:49:56.7617792+01:00
16,2.29999995,1,2023-12-17T12:50:09.7358464+01:00
5,3.1415,2,2023-12-17T12:50:16.7517312+01:00
4,2.51327419,1,2023-12-17T12:50:29.7386880+01:00
5,3.1415,2,2023-12-17T12:50:36.7551872+01:00
16,2.29999995,1,2023-12-17T12:50:49.7431936+01:00
5,3.1415,2,2023-12-17T12:50:56.7548928+01:00
4,2.51327419,1,2023-12-17T12:51:09.7441152+01:00
5,3.1415,2,2023-12-17T12:51:16.7620608+01:00
5,2.51327419,1,2023-12-17T12:51:29.7479808+01:00
5,3.1415,2,2023-12-17T12:51:36.7603328+01:00
3,4.18879032,2,2023-12-17T12:51:49.7510528+01:00
5,3.1415,1,2023-12-17T12:51:56.7551744+01:00
